Player,Link
Bernardo Silva,https://youtu.be/SKSRpoYrHJQ?si=yRoq-pL2Tn0lesI4
Andrew Robertson,https://youtu.be/3IttzEnLsbM?si=zNzsth3RCSnFWIYU
Jérémy Doku,https://youtu.be/QiJAbJ6u17M?si=Bge8p6bmsFChf5Kt
Joško Gvardiol,https://youtu.be/u2XFc79-xmU?si=Hlq0_IcWWaZRIGwA
Julián Alvarez,https://youtu.be/6ByshcyaFs0?si=UbECDhv8xG8XPaTG
Pedro Porro,https://youtu.be/Y-F7D_zHK0E?si=69MH00WSHxpLv611
Ollie Watkins,https://youtu.be/o6Khcy0FIaI?si=xDVhEVpLfyA7IN4n
Conor Gallagher,https://youtu.be/KNqxFm9HuL8?si=K88zW7BQNpviEVH8
Morgan Gibbs-White,https://youtu.be/WedvPAkjUK4?si=rnsuTLN9tpF1LTEV
Matheus Cunha,https://youtu.be/a8JxvVfpizE?si=4Y2yVQH7lVEifFAF
Ben White,https://youtu.be/LMaIN-9GsXQ?si=OX7aXOvmeS7AyHNT
Cristian Romero,https://youtu.be/sc6ArOsZPdg?si=JtK3jxOmvIy1J_L6
Manuel Akanji,https://youtu.be/MVb602UD4ao?si=KuwM-trPsNE6godH
伊藤 涼太郎,https://youtu.be/RZQiWE3XsHY?si=qINwHmpStMMYC0gc
満田 誠,https://youtu.be/ZKlOPTP6p_Y?si=YFFswXy2ErpHkevm
大迫 勇也,https://youtu.be/N-JwBiXPbhk?si=yPmuPDWJk2YuMovY
マテウス・カストロ,https://youtu.be/oSP9OrD8gGc?si=e-YcIksGyVKxnFLw
脇坂 泰斗,https://youtu.be/3P4w8Nwv9vE?si=nD298jhgQttG-RsH
アレクサンダー・ショルツ,https://youtu.be/U9Erh8-RmYI?si=pbHEQ__UTxneavYK
町野 修斗,https://youtu.be/2gEG-8Z5xvk?si=gbZKXE2CsmCYRbef
佐々木 翔,https://youtu.be/jKnIEHTAvcA?si=TX4TgSUZ0wrF3wZ6
エウベル,https://youtu.be/Ekskh3sz068?si=ZHSWrbobzeEcmCJi
岩尾 憲,https://youtu.be/Wn0t34uukoA?si=XYGT2YZan1R9d94r
初瀬 亮,https://youtu.be/1fuixRverBQ?si=FX7MdG4fPh4wn8KQ
マテウス・サヴィオ,https://youtu.be/N0DMjcJ4O7I?si=sb_ckjemeeW7698H
ファン・アラーノ,https://youtu.be/c2WWP5YrvpA?si=mvlPxr7ujqdxW2c0
エドゥアルド,https://youtu.be/dmbbBAZW6zU?si=ULoLOJRH_2-kRbOk
伊藤 敦樹,https://youtu.be/vNeUuPP-Is4?si=ebHPsZGcQXbNt0Z0
樋口 雄太,https://youtu.be/9zRs7iJAB1w?si=U6ckbQS8RzrkY4uu
武藤 嘉紀,https://youtu.be/WodAMdIuaVE?si=0SFpy6J1GPItfBr-
金子 拓郎,https://youtu.be/-MocmZHi_OY?si=pV5SRhxnE7xSeuxv
大橋 祐紀,https://youtu.be/_uYeSoNEtYc?si=SU6PtlYaFe2vaPHA
マリウス・ホイブラーテン,https://youtube.com/shorts/nyhvx1xvrO4?si=g5aVnDsn5m6cXzgN
鈴木 優磨,https://youtu.be/QMD-scKSgtI?si=UaVIqLyqHXR-vpO0
山岸 祐也,https://youtube.com/shorts/h3GX-pO17z8?si=lRbZ7AD2nyLzrWKP
ヤン・マテウス,https://youtu.be/HM6wogZ91OY?si=amkBhTEpzjH8M2oi
関川 郁万,https://youtu.be/CVBsaXX54yA?si=7pDEjlEED-xpMTlR
紺野 和也,https://youtu.be/paXFt7tP3Do?si=Z3Z-1qrmwiSbAlHc
松木 玖生,https://youtu.be/8kmSRKr1hF8?si=qP3x6T0deZpvBCsf
エンリケ・トレヴィザン,https://youtu.be/6IZfO_iY-_g?si=irVuSfgjczzcK7Dy
河原 創,https://youtu.be/L_DHjMuxQBI?si=25iSgrRNeF5IZ29D
福森 晃斗,https://youtu.be/1ewuZckuPuc?si=KP0VKPFRq-KQll2p
東 俊希,https://youtu.be/Ck9grViV7js?si=JXtWnBXkwfuuCVyJ
野津田 岳人,https://youtu.be/gPP9hYu8o6w?si=WMLLr3nO5dyGjLwV
荒木 隼人,https://youtu.be/Dzncy8OF9nw?si=wKmoQTReY-253-R6
トゥーレル,https://youtu.be/IdzKfR6Cl74?si=plDGsdZYBzIPmJRN
明本 考浩,https://youtu.be/p3-jPc0YUNU?si=qvEkdvjlHbLaTMWM
鳥海 晃司,https://youtu.be/5DxRsCO1aac?si=i39ooW7pe7qDl_Up
ディエゴ・ピトゥカ,https://youtu.be/N76yHCqWUhw?si=uoAMQuh9hWK47L4s
アンデルソン・ロペス,https://youtu.be/wKgH3RG8ZVw?si=_D92QEMWK2sU9hb0
稲垣 祥,https://youtu.be/jDCmr40Dq9A?si=vASKjWn8V1VWhbQF
藤井 陽也,https://youtu.be/Wim13X3tr4o?si=UXfvQzkvbm8Mc-mJ
古賀 太陽,https://youtu.be/OPm8kYDmTOU?si=8vKw6DzXAtWVZCzk
浅野 雄也,https://youtu.be/1kQ2rDmIG94?si=AjAmbPDosX3N9PEj
塩谷 司,https://youtu.be/_H_0ae9leyo?si=Yaev28oWBfPvx0j7
カプリーニ,https://youtu.be/NloxPbVZDJk?si=mpESUZyvbhgrTzKj
ルーカス・フェルナンデス,https://youtu.be/aIMEnGXa6sg?si=Vw1hxSnX1EifmFHd
キャスパー・ユンカー,https://youtu.be/5GO_60rYPqU?si=_UB0ca6vIP_zwY8r
ドウグラス・ヴィエイラ,https://youtu.be/QWcdyhZNaRI?si=UJ8ZiB4-JSxr2F7a
パトリック,https://youtu.be/F_UUc_fRNTs?si=FVcTh0_kGUb68LfD
小柏 剛,https://youtu.be/KquzaE41aus?si=OJntvUooq_wnqnY_
加藤 陸次樹,https://youtu.be/bAOyMzdKmfU?si=dy0ypfkFvkm8ryvf
森島 司,https://youtu.be/UgtwGqjMCkc?si=jxtKu9h7j4p65Cyd
香川 真司,https://youtu.be/7XFbh_Hd_bs?si=_RX3qmzGvLBY0r-y
山本 悠樹,https://youtu.be/ge_xYpKKAqo?si=XD57Vd4VwQinCrBO
